epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,463.899,2.61576,2.51075,1.08259,0.64988,0.83333,0.69247,0.31795,1.80191,1.82013,1.04694,0.000344282,0.000344282,0.000344282
81,469.591,2.49258,2.75968,1.02413,0.64988,0.83333,0.69247,0.31795,1.80191,1.82013,1.04694,0.0003328,0.0003328,0.0003328
82,475.193,1.57628,1.99261,1.04171,0.64988,0.83333,0.69247,0.31795,1.80191,1.82013,1.04694,0.000320922,0.000320922,0.000320922
83,480.895,2.32095,2.20646,1.09207,0.64988,0.83333,0.69247,0.31795,1.80191,1.82013,1.04694,0.000308648,0.000308648,0.000308648
84,486.605,2.15755,2.39083,1.17129,0.66231,0.66667,0.69388,0.34623,1.72069,1.61507,1.0307,0.000295978,0.000295978,0.000295978
85,492.209,1.7616,1.7835,0.91832,0.66231,0.66667,0.69388,0.34623,1.72069,1.61507,1.0307,0.000282912,0.000282912,0.000282912
86,497.887,2.34089,3.09512,1.00853,0.66231,0.66667,0.69388,0.34623,1.72069,1.61507,1.0307,0.00026945,0.00026945,0.00026945
87,503.595,1.87821,2.04103,0.96292,0.66231,0.66667,0.69388,0.34623,1.72069,1.61507,1.0307,0.000255592,0.000255592,0.000255592
88,509.302,2.71384,2.79977,0.9119,0.66231,0.66667,0.69388,0.34623,1.72069,1.61507,1.0307,0.000241338,0.000241338,0.000241338
89,514.951,1.91947,2.13211,0.89921,0.66231,0.66667,0.69388,0.34623,1.72069,1.61507,1.0307,0.000226688,0.000226688,0.000226688
90,520.653,2.0962,2.00649,0.79638,0.66231,0.66667,0.69388,0.34623,1.72069,1.61507,1.0307,0.000211642,0.000211642,0.000211642
91,526.289,2.21737,3.26622,1.11554,0.91567,0.66667,0.78691,0.40188,1.69623,1.42975,1.02897,0.0001962,0.0001962,0.0001962
92,531.994,2.68851,3.84936,1.19782,0.91567,0.66667,0.78691,0.40188,1.69623,1.42975,1.02897,0.000180362,0.000180362,0.000180362
93,537.616,1.68794,1.88211,0.94424,0.91567,0.66667,0.78691,0.40188,1.69623,1.42975,1.02897,0.000164128,0.000164128,0.000164128
94,543.279,1.38016,2.10925,0.99299,0.91567,0.66667,0.78691,0.40188,1.69623,1.42975,1.02897,0.000147498,0.000147498,0.000147498
95,548.881,2.192,3.41009,1.18802,0.91567,0.66667,0.78691,0.40188,1.69623,1.42975,1.02897,0.000130472,0.000130472,0.000130472
96,554.576,1.67255,2.46491,0.90946,0.91567,0.66667,0.78691,0.40188,1.69623,1.42975,1.02897,0.00011305,0.00011305,0.00011305
97,560.258,2.21359,2.3892,1.2087,0.91567,0.66667,0.78691,0.40188,1.69623,1.42975,1.02897,9.5232e-05,9.5232e-05,9.5232e-05
98,565.85,2.23057,3.29259,1.03005,0.91567,0.66667,0.78691,0.40188,1.69623,1.42975,1.02897,7.7018e-05,7.7018e-05,7.7018e-05
99,571.581,1.82779,2.52685,1.24486,1,0.8244,0.83549,0.3904,1.7384,1.29673,1.02777,5.8408e-05,5.8408e-05,5.8408e-05
100,577.261,2.46895,3.77573,0.99087,1,0.8244,0.83549,0.3904,1.7384,1.29673,1.02777,3.9402e-05,3.9402e-05,3.9402e-05
